m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
48, 48, 48, 1, 1, 48, 5.551807
64, 64, 64, 1, 1, 64, 6.079406
80, 80, 80, 1, 1, 80, 6.442953
96, 96, 96, 1, 1, 96, 6.704577
112, 112, 112, 1, 1, 112, 6.904954
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
16, 16, 1, 16, 16, 1, 4.388572
32, 32, 1, 32, 32, 1, 5.056790
48, 48, 1, 48, 48, 1, 4.842031
64, 64, 1, 64, 64, 1, 6.079406
80, 80, 1, 80, 80, 1, 6.168674
96, 96, 1, 96, 96, 1, 6.350388
112, 112, 1, 112, 112, 1, 5.161255
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
16, 16, 32, 16, 16, 2, 4.179592
32, 32, 64, 32, 32, 2, 4.576536
48, 48, 96, 48, 48, 2, 5.551807
64, 64, 128, 64, 64, 2, 4.972383
80, 80, 160, 80, 80, 2, 6.211080
96, 96, 192, 96, 96, 2, 6.089868
112, 112, 224, 112, 112, 2, 6.266778
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
16, 16, 16, 1, 1, 16, 4.388572
32, 16, 16, 1, 1, 16, 5.206779
48, 16, 16, 1, 1, 16, 3.731174
64, 16, 16, 1, 1, 16, 5.331020
80, 16, 16, 1, 1, 16, 5.361257
96, 16, 16, 1, 1, 16, 4.708046
112, 16, 16, 1, 1, 16, 4.800000
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
16, 16, 16, 1, 1, 16, 4.326760
16, 32, 32, 1, 1, 32, 4.420144
16, 48, 48, 1, 1, 48, 5.405279
16, 64, 64, 1, 1, 64, 5.936232
16, 80, 80, 1, 1, 80, 6.295082
16, 96, 96, 1, 1, 96, 6.571123
16, 112, 112, 1, 1, 112, 6.783597
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
16, 16, 16, 1, 16, 1, 4.915200
32, 32, 32, 1, 32, 1, 4.866535
48, 48, 48, 1, 48, 1, 4.787532
64, 64, 64, 1, 64, 1, 5.173894
80, 80, 80, 1, 80, 1, 6.424090
96, 96, 96, 1, 96, 1, 6.334021
112, 112, 112, 1, 112, 1, 6.467368
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
16, 16, 1, 16, 1, 16, 4.915200
32, 32, 1, 32, 1, 32, 4.885885
48, 48, 1, 48, 1, 48, 5.546239
64, 64, 1, 64, 1, 64, 6.075649
80, 80, 1, 80, 1, 80, 6.432161
